p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,3.43742007002502,0.695,0.098,0,CeL_appetitive,Ebf1
0,3.1925441116029,0.768,0.227,0,CeL_appetitive,Tshz2
0,3.66618565120391,0.523,0.072,0,CeL_appetitive,Nts
0,3.54118315176971,0.55,0.112,0,CeL_appetitive,Htr2c
0,3.40049546403924,0.532,0.107,0,CeL_appetitive,Trpc5
0,4.10357607614744,0.373,0.031,0,CeL_appetitive,Tac2
0,3.71831975085045,0.374,0.054,0,CeL_appetitive,Gulp1
0,4.05830051253113,0.326,0.025,0,CeL_appetitive,Dnah5
0,4.25473248290135,0.321,0.035,0,CeL_appetitive,Cited1
0,4.0272122644252,0.236,0.031,0,CeL_appetitive,Tdtomato
0,3.38403336061477,0.185,0.019,0,CeL_appetitive,Slc35f2
0,5.13040616054736,0.162,0.006,0,CeL_appetitive,Pgr15l
0,4.52313688649212,0.163,0.008,0,CeL_appetitive,Cd44
0,3.89701120725058,0.164,0.013,0,CeL_appetitive,Gdf10
0,3.93171792857749,0.162,0.013,0,CeL_appetitive,Spink8
0,5.49245425736363,0.139,0.003,0,CeL_appetitive,H2-DMb1
0,4.56824438165516,0.13,0.006,0,CeL_appetitive,Npbwr1
5.72025204141737e-229,3.2350247100578,0.15,0.02,1.87475540405413e-224,CeL_appetitive,Fam241a
7.2162301298722e-206,3.36770908114287,0.126,0.016,2.36504726276432e-201,CeL_appetitive,Gm12371
1.39532837543004e-171,3.20711857526502,0.133,0.021,4.57304921763442e-167,CeL_appetitive,Rapsn
0,3.10276831010458,0.673,0.074,0,CeM_appetitive,Isl1
0,2.86072682344609,0.959,0.378,0,CeM_appetitive,Syt4
0,2.67232840032156,0.718,0.146,0,CeM_appetitive,Grin3a
0,2.70749897792018,0.491,0.063,0,CeM_appetitive,Ecel1
0,3.14836341229441,0.368,0.057,0,CeM_appetitive,Pou6f2
0,2.69289173029062,0.278,0.033,0,CeM_appetitive,Tekt5
0,3.21955217377746,0.267,0.033,0,CeM_appetitive,Tafa1
0,3.27208192037249,0.249,0.024,0,CeM_appetitive,Plek2
0,3.29619952596622,0.237,0.022,0,CeM_appetitive,H2-Q2
0,3.30573390329526,0.236,0.032,0,CeM_appetitive,Zfp521
0,2.85526073020735,0.203,0.022,0,CeM_appetitive,Adcy7
0,3.9418172271545,0.182,0.011,0,CeM_appetitive,Dkkl1
3.12121456911905e-307,3.42395906046386,0.116,0.009,1.02294686288308e-302,CeM_appetitive,Hck
4.2268023575812e-276,2.71391848865104,0.16,0.022,1.38529220467366e-271,CeM_appetitive,Cdhr1
2.39087284805138e-274,2.65746833571805,0.152,0.02,7.83584667220361e-270,CeM_appetitive,Slc5a5
7.131540840231e-267,2.69797407735653,0.153,0.021,2.33729119497731e-262,CeM_appetitive,Dipk2a
1.6877966274127e-256,3.02852881445417,0.103,0.009,5.53158466668238e-252,CeM_appetitive,Plin5
7.69137783572132e-243,3.17175227081205,0.101,0.009,2.52077217187931e-238,CeM_appetitive,Bmp6
2.82569273894666e-242,3.25351708203966,0.114,0.013,9.26092538262377e-238,CeM_appetitive,Irs4
1.51362098983522e-176,3.04589896678608,0.112,0.017,4.96074143208594e-172,CeM_appetitive,Kcnk9
0,4.08574990883118,0.673,0.052,0,CeA_Aversive,Cyp26b1
0,2.91107058894268,0.659,0.151,0,CeA_Aversive,Sox5
0,3.23354893467748,0.492,0.057,0,CeA_Aversive,Chodl
0,2.85164055898086,0.465,0.125,0,CeA_Aversive,Frmpd4
0,3.1199943120197,0.396,0.083,0,CeA_Aversive,Pde7b
0,3.32987743183154,0.341,0.046,0,CeA_Aversive,Sostdc1
0,3.21995145863613,0.406,0.113,0,CeA_Aversive,Hdac9
0,2.85540402717655,0.335,0.051,0,CeA_Aversive,Lrrc1
0,2.88538347932903,0.333,0.082,0,CeA_Aversive,Ankfn1
0,3.9636998072449,0.262,0.016,0,CeA_Aversive,Gm19410
0,3.5807105354462,0.266,0.029,0,CeA_Aversive,Stk31
0,3.4260545601359,0.22,0.019,0,CeA_Aversive,Calcrl
0,3.55479302959648,0.203,0.023,0,CeA_Aversive,Gsta4
0,2.89493644368449,0.221,0.042,0,CeA_Aversive,Prkd1
0,2.80689873309217,0.198,0.028,0,CeA_Aversive,Pcsk6
0,3.66188215072854,0.149,0.019,0,CeA_Aversive,Ifi27l2a
0,3.60202931442178,0.126,0.009,0,CeA_Aversive,C1ql2
