"","Appetitive_E15","Appetitive_E18","Appetitive_P0","Appetitive_P4","Appetitive_P10","Appetitive_P21","Aversive_E15","Aversive_E18","Aversive_P0","Aversive_P4","Aversive_P10","Aversive_P21"
"other.GAPs",0.0920358414,0.0506155154,0.0239554987,0.1248284353,0.0281959285,0.0003127426,0.043611651,-0.006729642,0.021443134,0.071081978,0.011883831,0.109938714
"RhoGEFs_1",0.003964799,-0.016774985,-0.020239427,0.016092174,0.098058672,0.104877229,0.009328237,-0.032326785,0.013616624,0.053216041,0.109772972,0.15879359
"RhoGAPs",0.039942846,-0.030328064,0.001459505,0.041182542,0.064796458,0.107931869,-0.0358468,-0.04470607,-0.06154773,0.07986419,0.03002425,0.13487659
"RhoGEFs_2",0.0326765,-0.01426247,0.05009153,0.03143679,0.07264186,0.08350939,-0.015369815,-0.048032636,-0.027939267,0.019439877,0.007174376,0.068234447
"Rho.family.of.GTPases",0.13548324,0.03583452,0.02171299,-0.02327178,0.01440654,0.04859621,0.06021939,0.007011075,0.067295016,-0.007987843,0.015068223,0.005349915
"collapsin.response.mediator.protein..CRMP.",0.03297493,0.08919765,0.08198553,0.11384708,0.11206497,0.09953235,0.03680328,0.02742255,0.02714569,0.03792439,0.07837797,0.05175245
"α.Catenin",0.01693307,0.01073798,-0.01600561,0.05912711,0.09102193,0.06265665,-0.02269329,-0.0339783,-0.07538567,0.02250545,-0.07955089,-0.04769427
"Semaphorin.receptors",0.11139792,0.10125122,0.15195133,0.03454333,0.09653961,0.0402911,0.02724782,-0.00480931,0.04016153,0.01545456,-0.03364164,0.0395965
"Eph.receptors",-0.05843655,0.02840261,0.03893805,0.04000951,-0.0289486,0.05342719,-0.025882355,0.045330503,0.098564628,0.148660789,-0.002864727,0.140010172
"Netrin.receptors",-0.01146219,-0.01944112,0.07128484,0.21788509,0.06775407,0.0389184,0.029079756,0.080586545,0.083536284,0.196043301,-0.009548585,0.067795578
"Robo.Neo",0.0630548837,0.0837679085,0.1282210008,0.1749787594,0.1006032632,-0.0002598714,0.085108789,0.033741601,-0.001271431,0.03436372,-0.082731887,-0.021955238
