"","gene_set","n_genes","appetitive_AUROC","appetitive_null_mean","appetitive_null_sd","appetitive_z","appetitive_p","appetitive_delta","aversive_AUROC","aversive_null_mean","aversive_null_sd","aversive_z","aversive_p","aversive_delta"
"1","other.GAPs",12,0.464801612404672,0.508530517798252,0.0539780450563536,-0.810123918862325,0.8,-0.0437289053935803,0.468768400560895,0.513158651606092,0.070793242898588,-0.627040791291138,0.725,-0.0443902510451963
"2","RhoGEFs_1",39,0.648349961331369,0.52939750377579,0.0635226026048669,1.87260050246218,0.035,0.118952457555579,0.57765821408167,0.523860097263143,0.0819714079855892,0.656303437266624,0.2,0.053798116818527
"3","RhoGAPs",30,0.571900268255398,0.527476458225233,0.0627618689355396,0.707815283126619,0.225,0.0444238100301647,0.732575913634187,0.52285649682194,0.0823989988323338,2.54516947759262,0.015,0.209719416812246
"4","RhoGEFs_2",18,0.592701849104998,0.513206873474628,0.0514471550642699,1.54517728980469,0.055,0.0794949756303703,0.525362202913578,0.51167583760208,0.0677745788594395,0.201939510976263,0.405,0.0136863653114974
"5","Rho.family.of.GTPases",19,0.477675090994679,0.523076431938282,0.0493487896587508,-0.92000920909215,0.86,-0.0454013409436022,0.488645434021718,0.51557076213816,0.066991405227609,-0.401922127546971,0.655,-0.0269253281164419
"6","collapsin.response.mediator.protein..CRMP.",5,0.601467108007703,0.504007894612419,0.0367833171178666,2.64954933463422,0.0157068062827225,0.0974592133952832,0.427044455862877,0.507365484095304,0.0460236477863457,-1.74521212671579,0.979057591623037,-0.0803210282324267
"7","α.Catenin",4,0.43629499220696,0.498771330989732,0.0362948198265545,-1.72135690661462,0.93491124260355,-0.0624763387827728,0.414896067341875,0.499180068499458,0.052294188368785,-1.61172787620684,0.964497041420118,-0.0842840011575823
"8","Semaphorin.receptors",13,0.632621660486966,0.525177365470665,0.0533617016876141,2.01350953246006,0.025,0.107444295016301,0.33480641016712,0.523172932319676,0.068932371088441,-2.73262792470723,1,-0.188366522152555
"9","Eph.receptors",18,0.49107020896016,0.52074998764121,0.0582750650964955,-0.509304942549685,0.735,-0.0296797786810498,0.598532972162316,0.517655654896225,0.0725489600862055,1.11479636882444,0.12,0.0808773172660909
"10","Netrin.receptors",6,0.446372747988565,0.509687037321958,0.041062485868831,-1.54190103189668,0.958974358974359,-0.0633142893333932,0.77925830723472,0.505159082860687,0.0497483932511753,5.50971009234669,0,0.274099224374033
"11","Robo.Neo",6,0.674693132902172,0.505795624384217,0.0395254396618305,4.27313421338255,0,0.168897508517955,0.584097499607931,0.504918484348911,0.0575575156259988,1.3756503281607,0.0673575129533679,0.0791790152590197
"12","Contactins",6,0.564238091615037,0.501715640614952,0.0440466295064025,1.41946050584861,0.0564102564102564,0.0625224510000845,0.547913993124651,0.502383907935943,0.0577741010720328,0.788070854307902,0.153846153846154,0.0455300851887079
"13","Ephrins",8,0.534462897332307,0.516795449676641,0.0481638875258437,0.366819386125879,0.303030303030303,0.0176674476556659,0.408580656492534,0.513338286888718,0.0633540409298142,-1.65352720771573,0.954545454545455,-0.104757630396184
"14","Netrins",6,0.424589363863435,0.506703171468923,0.0483070157723901,-1.69983192487788,0.952879581151832,-0.0821138076054879,0.448246998845937,0.509074467406702,0.0576319821162305,-1.05544640887224,0.895287958115183,-0.0608274685607648
"15","Slit.Noggin.RGMs",6,0.681551341154124,0.508259194761482,0.0399600156823439,4.3366385981978,0,0.173292146392642,0.72953761536505,0.508344273595105,0.0547321586503262,4.04137799831921,0,0.221193341769945
"16","SynCAM.family",4,0.597974442549661,0.503072767823889,0.0350974154839639,2.70395051650265,0.0108695652173913,0.0949016747257725,0.55725765202537,0.504650135422399,0.0480727641267329,1.09433101171973,0.109289617486339,0.0526075166029717
"17","N.cadherin..Catenins",12,0.561741840769711,0.515321159831532,0.058604596443805,0.792099660351569,0.150753768844221,0.0464206809381787,0.465099438255277,0.505301474257967,0.0699346741699824,-0.574851266268511,0.728643216080402,-0.0402020360026901
"18","LRRTMs",4,0.512689541453018,0.50378610955768,0.0406481724678121,0.219036462276093,0.327683615819209,0.00890343189533804,0.488320679744622,0.5042179659987,0.052554833417473,-0.302489518476757,0.706214689265537,-0.0158972862540776
"19","LRRCs",42,0.478516240546647,0.530684042602816,0.069139353123209,-0.754531243056375,0.775,-0.0521678020561686,0.491373080144072,0.520050169707558,0.0798535875610778,-0.359120866567855,0.625,-0.0286770895634864
"20","Slitrk.Elfn",8,0.475959514142547,0.512348046573634,0.0540315729226783,-0.673467945920445,0.78894472361809,-0.0363885324310869,0.586690808750965,0.51634028651718,0.0711901181849827,0.988206285189526,0.155778894472362,0.0703505222337851
"21","neuroligin.SDKs",5,0.657607912902912,0.508908290704395,0.0443358387970247,3.35393727136377,0.015625,0.148699622198517,0.592427269770907,0.505653044292728,0.0522261563000038,1.6615089377767,0.0572916666666667,0.0867742254781795
"22","PSD.scaffolding",17,0.638441503904761,0.517255340418309,0.0598656232514466,2.02430304579722,0.025,0.121186163486452,0.731064445277503,0.510648346574524,0.0738109965714526,2.98622304184181,0.005,0.220416098702978
"23","NMDA.subunits",6,0.525347384178777,0.501284700721619,0.0388859349077541,0.61880172134835,0.219387755102041,0.0240626834571581,0.635924942114179,0.501905429290432,0.0525343900143289,2.55108154462617,0.0153846153846154,0.134019512823747
"24","AMPA.TARP.SynDIG",14,0.460164912469381,0.511310437934864,0.0531353696368925,-0.962551419421617,0.86,-0.0511455254654832,0.525756890059303,0.508998924654449,0.0685829374462228,0.244345985005302,0.36,0.0167579654048543
"25","Kainate.Receptor.Subunits..GRIK.",5,0.690287639854844,0.506732573959948,0.0391666448451653,4.68651493178776,0.00529100529100529,0.183555065894895,0.541730780881912,0.503012182630695,0.0520564844759833,0.743780503830979,0.158730158730159,0.0387185982512164
