"","cell_type","gene","avg_logFC","p_val","p_val_adj","de_family","de_method","de_type","diffexpressed","gene_label"
"1","E15","0610005C13Rik",-1.2413056427441,0.358080335143868,1,"pseudobulk","edgeR","LRT","Highlit_down",NA
"2","E15","0610006L08Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"3","E15","0610009B22Rik",0.0226536504615892,0.949554568378196,1,"pseudobulk","edgeR","LRT","NO",NA
"4","E15","0610009O20Rik",-0.510318232952545,0.390918141807201,1,"pseudobulk","edgeR","LRT","NO",NA
"5","E15","0610010F05Rik",-0.269674380767206,0.646767769023367,1,"pseudobulk","edgeR","LRT","NO",NA
"6","E15","0610010K14Rik",0.0925206659029941,0.790361420375393,1,"pseudobulk","edgeR","LRT","NO",NA
"7","E15","0610012D04Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"8","E15","0610012G03Rik",-0.151648508484189,0.858998487364827,1,"pseudobulk","edgeR","LRT","NO",NA
"9","E15","0610025J13Rik",1.01563068720248,0.559635020115798,1,"pseudobulk","edgeR","LRT","Highlit_up",NA
"10","E15","0610030E20Rik",0.520421216435876,0.260717823344081,1,"pseudobulk","edgeR","LRT","NO",NA
"11","E15","0610031O16Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"12","E15","0610033M10Rik",2.96213183088735,0.124171477019252,1,"pseudobulk","edgeR","LRT","Highlit_up",NA
"13","E15","0610037L13Rik",0.367137194117307,0.309391580847327,1,"pseudobulk","edgeR","LRT","NO",NA
"14","E15","0610038B21Rik",-3.25410574502831,0.155868106040492,1,"pseudobulk","edgeR","LRT","Highlit_down",NA
"15","E15","0610039K10Rik",-1.94322921498178,0.404548026727575,1,"pseudobulk","edgeR","LRT","Highlit_down",NA
"16","E15","0610040B10Rik",0.00748855688623542,0.986210066036802,1,"pseudobulk","edgeR","LRT","NO",NA
"17","E15","0610040F04Rik",-2.74418798239907,0.242393373091107,1,"pseudobulk","edgeR","LRT","Highlit_down",NA
"18","E15","0610040J01Rik",2.9340300410885,0.126320665180114,1,"pseudobulk","edgeR","LRT","Highlit_up",NA
"19","E15","0610043K17Rik",-0.291973914140952,0.847531713670098,1,"pseudobulk","edgeR","LRT","NO",NA
"20","E15","0710001A04Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"21","E15","1010001B22Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"22","E15","1010001N08Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"23","E15","1100001I12Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"24","E15","1110002E22Rik",-1.94650114368488,0.404093985674422,1,"pseudobulk","edgeR","LRT","Highlit_down",NA
"25","E15","1110002J07Rik",-0.325848352419299,0.831799298836356,1,"pseudobulk","edgeR","LRT","NO",NA
"26","E15","1110002L01Rik",-0.116240951986651,0.783030726139002,1,"pseudobulk","edgeR","LRT","NO",NA
"27","E15","1110002O04Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"28","E15","1110004E09Rik",0.119482141155117,0.746163874460274,1,"pseudobulk","edgeR","LRT","NO",NA
"29","E15","1110004F10Rik",-0.216067225263891,0.509618745205032,1,"pseudobulk","edgeR","LRT","NO",NA
"30","E15","1110006O24Rik",-1.61652231156701,0.120849756211302,1,"pseudobulk","edgeR","LRT","Highlit_down",NA
"31","E15","1110008E08Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"32","E15","1110008F13Rik",-0.0540590539122491,0.960218402477628,1,"pseudobulk","edgeR","LRT","NO",NA
"33","E15","1110008L16Rik",0.311066662401957,0.630788522208601,1,"pseudobulk","edgeR","LRT","NO",NA
"34","E15","1110008P14Rik",-0.617936024538133,0.095810899784133,1,"pseudobulk","edgeR","LRT","NO",NA
"35","E15","1110012L19Rik",0.692485185019962,0.0669174808431905,1,"pseudobulk","edgeR","LRT","NO",NA
"36","E15","1110015O18Rik",0.877242985663651,0.0377168290790699,1,"pseudobulk","edgeR","LRT","NO",NA
"37","E15","1110017D15Rik",-0.43515662866894,0.302256124112989,1,"pseudobulk","edgeR","LRT","NO",NA
"38","E15","1110019B22Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"39","E15","1110019D14Rik",1.2185006357632,0.368968299409681,1,"pseudobulk","edgeR","LRT","Highlit_up",NA
"40","E15","1110020A21Rik",0.372843262656009,0.647979923036422,1,"pseudobulk","edgeR","LRT","NO",NA
"41","E15","1110025L11Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"42","E15","1110028F18Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"43","E15","1110032A03Rik",-0.0621554845959037,0.873467505207422,1,"pseudobulk","edgeR","LRT","NO",NA
